source,target,value
AR001,AR055,0.9588
AR002,AR003,0.9311
AR002,AR007,0.9584
AR002,AR016,0.9104
AR002,AR023,0.9078
AR002,AR030,0.9362
AR002,AR031,0.9455
AR002,AR039,0.9367
AR002,AR041,0.9123
AR002,AR051,0.9527
AR002,AR052,0.9747
AR002,AR058,0.9026
AR002,AX018,0.9762
AR002,BI103,0.9121
AR003,AR004,0.9341
AR003,AR011,0.9183
AR003,AR014,0.9058
AR003,AR015,0.985
AR003,AR018,0.9423
AR003,AR021,0.9728
AR003,AR022,0.9578
AR003,AR030,0.9659
AR003,AR035,0.9146
AR003,AR052,0.9446
AR003,AR059,0.9505
AR004,AR005,0.9344
AR004,AR007,0.978
AR004,AR011,0.9026
AR004,AR015,0.941
AR004,AR022,0.9676
AR004,AR024,0.9289
AR004,AR025,0.9164
AR004,AR027,0.9796
AR004,AR034,0.9374
AR004,AR038,0.9463
AR004,BJ028,0.914
AR005,AR010,0.9679
AR005,AR012,0.9155
AR005,AR019,0.9144
AR005,AR025,0.9044
AR005,AR035,0.9786
AR005,AR037,0.9219
AR005,AR039,0.9664
AR005,AR041,0.9055
AR005,AR044,0.9385
AR005,AR046,0.9434
AR005,AR052,0.9118
AR005,AR057,0.9436
AR005,AY066,0.9059
AR006,AR011,0.9058
AR006,AR016,0.9082
AR006,AR018,0.9493
AR006,AR022,0.9904
AR006,AR037,0.9721
AR006,AR038,0.9542
AR006,AR041,0.9008
AR006,AR042,0.9578
AR006,AR047,0.9812
AR006,AR048,0.9427
AR006,AR052,0.9617
AR006,AR059,0.942
AR006,BJ044,0.9259
AR007,AR010,0.9187
AR007,AR012,0.9715
AR007,AR016,0.934
AR007,AR026,0.9839
AR007,AR040,0.9599
AR007,AR048,0.9098
AR008,AR009,0.9395
AR008,AR021,0.9155
AR008,AR040,0.9256
AR008,AR042,0.9318
AR008,AR044,0.9609
AR008,AR049,0.9383
AR008,AR053,0.9554
AR008,AR055,0.9942
AR008,AR056,0.9129
AR008,AR059,0.9177
AR008,AV002,0.9673
AR009,AR014,0.9578
AR009,AR023,0.9375
AR009,AR029,0.9136
AR009,AR030,0.9451
AR009,AR031,0.933
AR009,AR034,0.9142
AR009,AR040,0.9647
AR009,AR045,0.9339
AR009,AR047,0.9888
AR009,AR048,0.925
AR009,AR056,0.9774
AR010,AR011,0.9304
AR010,AR017,0.9592
AR010,AR020,0.9211
AR010,AR021,0.9358
AR010,AR028,0.9527
AR010,AR036,0.9222
AR010,AR041,0.9625
AR010,AR044,0.9183
AR010,AR048,0.9784
AR010,AR058,0.9216
AR010,AY028,0.9497
AR011,AR014,0.929
AR011,AR017,0.9788
AR011,AR028,0.9273
AR011,AR031,0.9414
AR011,AR036,0.953
AR011,AR048,0.9228
AR011,AR054,0.9843
AR012,AR015,0.9236
AR012,AR016,0.9572
AR012,AR020,0.9045
AR012,AR025,0.9425
AR012,AR028,0.9431
AR012,AR033,0.965
AR012,AR034,0.9639
AR012,AR038,0.9283
AR012,AR040,0.9432
AR012,AR042,0.9225
AR012,AR049,0.9096
AR012,AR050,0.9851
AR012,AR051,0.9201
AR012,AR053,0.909
AR012,AR058,0.9595
AR013,AR014,0.9311
AR013,AR017,0.9522
AR013,AR019,0.9402
AR013,AR020,0.9219
AR013,AR029,0.9291
AR013,AR032,0.9023
AR013,AR036,0.988
AR013,AR037,0.9356
AR013,AR043,0.9079
AR013,AR046,0.9635
AR013,AR049,0.9567
AR013,AR059,0.9202
AR014,AR017,0.9581
AR014,AR023,0.9671
AR014,AR044,0.9602
AR014,AR054,0.9964
AR014,AW050,0.9091
AR015,AR030,0.9736
AR015,AR047,0.9439
AR015,AR056,0.9293
AR015,AX061,0.9474
AR016,AR019,0.9228
AR016,AR026,0.939
AR016,AR028,0.929
AR016,AR030,0.9438
AR016,AR031,0.9757
AR016,AR033,0.9366
AR016,AR036,0.955
AR016,AR042,0.9071
AR016,AR048,0.9137
AR016,AR049,0.9731
AR016,AR057,0.9524
AR016,AR058,0.9894
AR016,AR059,0.9585
AR016,AV038,0.9079
AR017,AR019,0.951
AR017,AR020,0.9605
AR017,AR023,0.9739
AR017,AR030,0.9611
AR017,AR033,0.9661
AR017,AR035,0.9423
AR017,AR036,0.9458
AR017,AR038,0.9157
AR017,AR055,0.9808
AR018,AR022,0.934
AR018,AR031,0.908
AR018,AR041,0.9444
AR018,AR045,0.9538
AR018,AR047,0.9697
AR018,AR050,0.9399
AR018,AR053,0.9579
AR018,BG019,0.9257
AR019,AR022,0.978
AR019,AR023,0.9371
AR019,AR026,0.9092
AR019,AR027,0.9194
AR019,AR028,0.9133
AR019,AR034,0.9651
AR019,AR035,0.9071
AR019,AR044,0.9566
AR019,AR057,0.9443
AR020,AR021,0.9224
AR020,AR027,0.9191
AR020,AR035,0.9332
AR020,AR037,0.9089
AR020,AR039,0.971
AR020,AR052,0.9388
AR020,AR057,0.9127
AR020,BG067,0.9559
AR021,AR040,0.9152
AR021,AR041,0.9266
AR021,AR043,0.9011
AR021,AR044,0.9579
AR021,AR045,0.9053
AR021,AR051,0.9734
AR021,AR054,0.9312
AR021,AR058,0.9222
AR022,AR023,0.9081
AR022,AR034,0.9066
AR022,AR035,0.9173
AR022,AR036,0.9242
AR022,AR049,0.9444
AR022,AR052,0.9274
AR022,AR059,0.9348
AR022,BI077,0.9397
AR022,BJ021,0.9237
AR023,AR027,0.9401
AR023,AR035,0.9744
AR023,AR037,0.9093
AR023,AR038,0.9544
AR023,AR039,0.9464
AR023,AR058,0.9336
AR024,AR030,0.9466
AR024,AR042,0.9078
AR024,AR043,0.9511
AR024,AR049,0.9409
AR024,AR050,0.9219
AR024,BH057,0.9854
AR025,AR040,0.9696
AR025,AR046,0.9388
AR025,AR055,0.9565
AR025,AR058,0.9231
AR025,AU026,0.965
AR025,BC029,0.9678
AR026,AR034,0.9554
AR026,AR035,0.9337
AR026,AR037,0.9236
AR026,AR047,0.9477
AR026,AR049,0.9252
AR026,AR054,0.9181
AR026,AR058,0.9451
AR027,AR031,0.9391
AR027,AR035,0.9351
AR027,AR036,0.9192
AR027,AR044,0.9515
AR027,AR049,0.9069
AR027,AR055,0.9488
AR027,AX023,0.9674
AR028,AR029,0.9764
AR028,AR034,0.939
AR028,AR040,0.9125
AR028,AR042,0.9354
AR028,AR043,0.9665
AR028,AR046,0.9237
AR028,AR048,0.9306
AR029,AR030,0.901
AR029,AR036,0.9191
AR029,AR038,0.9626
AR029,AR042,0.973
AR029,AR044,0.9058
AR029,AR046,0.9692
AR029,AR050,0.9495
AR029,AR057,0.918
AR029,AR058,0.9453
AR030,AR039,0.9153
AR030,AR043,0.916
AR030,AR050,0.9529
AR030,BE044,0.9341
AR031,AR033,0.9065
AR031,AR039,0.92
AR031,AR040,0.9562
AR031,AR042,0.9245
AR031,AR055,0.9407
AR032,AR039,0.9021
AR032,AR040,0.9579
AR032,AR041,0.9322
AR032,AR046,0.9192
AR032,AR052,0.9633
AR032,AR056,0.9474
AR033,AR037,0.9636
AR033,AR038,0.9648
AR033,AR048,0.9309
AR033,AR051,0.9803
AR033,BG039,0.9324
AR033,BI044,0.926
AR034,AR036,0.9676
AR034,AR040,0.9434
AR034,AR041,0.9514
AR034,AR046,0.9621
AR034,AR047,0.9675
AR034,AR052,0.9592
AR034,AR054,0.9709
AR034,AR058,0.9813
AR035,AR036,0.9583
AR035,AR039,0.9287
AR035,AR048,0.9293
AR035,AR050,0.956
AR035,AR053,0.968
AR035,AR054,0.9118
AR035,AR059,0.9124
AR036,AR038,0.96
AR036,AR043,0.9258
AR036,AR047,0.9372
AR036,AR053,0.9316
AR036,AR054,0.9857
AR037,AR038,0.988
AR037,AR039,0.9902
AR037,AR045,0.9483
AR037,AR048,0.9347
AR037,AR049,0.9192
AR037,AR053,0.9494
AR037,AR059,0.9712
AR037,BH001,0.9654
AR038,AR041,0.9137
AR038,AR042,0.9552
AR038,AR043,0.9046
AR038,AR047,0.9749
AR038,AR051,0.9002
AR038,AX002,0.9163
AR039,AR042,0.9846
AR039,AR043,0.9128
AR039,AR052,0.9096
AR039,AZ023,0.9904
AR040,AR047,0.9145
AR040,AR055,0.9618
AR040,BF080,0.9808
AR040,BI071,0.9654
AR041,AR042,0.9155
AR041,AR048,0.9631
AR041,AR059,0.9352
AR042,AR044,0.9052
AR042,AR054,0.9093
AR042,AR059,0.9571
AR043,AR047,0.9632
AR043,AR054,0.9619
AR043,AR056,0.9466
AR043,BH054,0.9514
AR044,AR047,0.9608
AR044,AR049,0.9617
AR044,AR050,0.9012
AR044,AR054,0.9221
AR044,AR055,0.9116
AR044,AR056,0.9084
AR044,AR058,0.9146
AR044,AR059,0.964
AR044,BI049,0.9334
AR045,AR055,0.9037
AR045,AR058,0.9635
AR045,BC020,0.9164
AR046,AR055,0.953
AR046,AR057,0.9296
AR046,AR059,0.9024
AR046,BI090,0.9583
AR047,AR052,0.9784
AR047,AW022,0.9568
AR048,AR049,0.9453
AR048,AR057,0.9549
AR049,AR051,0.9257
AR049,AR054,0.9541
AR049,AR057,0.9126
AR050,AR059,0.9471
AR051,AR057,0.9195
AR051,AR058,0.9193
AR051,AR059,0.9539
AR051,BH075,0.9274
AR052,AR057,0.9874
AR052,BF009,0.9086
AR053,BG053,0.9762
AR054,AV051,0.9582
AR054,AZ039,0.9044
AR055,AR059,0.9104
AR057,AR059,0.9078
AR058,BE082,0.9739
AS001,AS002,0.9622
AS001,AS008,0.9168
AS001,AS009,0.9723
AS001,AS016,0.9572
AS001,AS025,0.912
AS001,AS032,0.918
AS001,AS033,0.9212
AS001,AS039,0.9448
AS001,AS040,0.9378
AS001,AS041,0.9332
AS001,AS062,0.911
AS001,BG026,0.9377
AS002,AS005,0.9445
AS002,AS010,0.9473
AS002,AS015,0.9246
AS002,AS023,0.9898
AS002,AS024,0.9579
AS002,AS036,0.9286
AS002,AS044,0.9497
AS002,AS047,0.9092
AS002,AS048,0.9441
AS002,AS051,0.9256
AS002,AS056,0.9744
AS002,AZ074,0.9464
AS003,AS004,0.9199
AS003,AS009,0.9438
AS003,AS010,0.9116
AS003,AS012,0.9699
AS003,AS014,0.9226
AS003,AS015,0.9024
AS003,AS022,0.9732
AS003,AS023,0.9627
AS003,AS026,0.9496
AS003,AS027,0.9345
AS003,AS032,0.9601
AS003,AS035,0.9643
AS003,AS037,0.9869
AS003,AS038,0.9478
AS003,AS050,0.96
AS003,AS056,0.9386
AS003,AZ002,0.9883
AS004,AS008,0.9447
AS004,AS012,0.9664
AS004,AS014,0.9565
AS004,AS023,0.9521
AS004,AS026,0.9005
AS004,AS028,0.9075
AS004,AS029,0.9322
AS004,AS036,0.9325
AS004,AS054,0.9837
AS004,AS055,0.904
AS004,AS056,0.9416
AS005,AS008,0.93
AS005,AS009,0.9653
AS005,AS011,0.9703
AS005,AS013,0.9474
AS005,AS017,0.934
AS005,AS018,0.9381
AS005,AS020,0.9573
AS005,AS024,0.9436
AS005,AS025,0.9588
AS005,AS028,0.9299
AS005,AS030,0.9106
AS005,AS045,0.9144
AS005,AS047,0.9033
AS005,AS048,0.9227
AS005,AS052,0.9357
AS005,AS057,0.9445
AS006,AS010,0.9087
AS006,AS017,0.9004
AS006,AS018,0.9482
AS006,AS021,0.9434
AS006,AS035,0.962
AS006,AS042,0.9205
AS006,AS047,0.9694
AS006,AS051,0.9451
AS006,AS052,0.9291
AS006,AS053,0.985
AS006,AS061,0.9584
AS006,AU046,0.9214
AS007,AS009,0.9603
AS007,AS012,0.9838
AS007,AS015,0.9314
AS007,AS020,0.9002
AS007,AS028,0.9303
AS007,AS032,0.9218
AS007,AS036,0.9558
AS007,AS039,0.9416
AS007,AS042,0.9577
AS007,AS045,0.9235
AS007,AS050,0.9028
AS007,AS061,0.9289
AS007,AY021,0.9537
AS008,AS019,0.934
AS008,AS022,0.9078
AS008,AS031,0.9408
AS008,AS034,0.974
AS008,AS043,0.9143
AS008,AS050,0.9299
AS008,AS054,0.9722
AS008,AS058,0.9177
AS008,AS059,0.9639
AS009,AS032,0.9224
AS009,AS039,0.9173
AS009,AS048,0.9777
AS009,AS053,0.9709
AS009,AS057,0.983
AS009,BF033,0.9165
AS010,AS015,0.9002
AS010,AS016,0.9012
AS010,AS019,0.9801
AS010,AS034,0.9646
AS010,AS037,0.9115
AS010,AS044,0.9483
AS010,AS045,0.9201
AS010,AS052,0.926
AS010,AS059,0.942
AS010,AS060,0.9439
AS010,AS061,0.9135
AS010,BC064,0.9435
AS010,BI076,0.9492
AS011,AS013,0.9102
AS011,AS014,0.953
AS011,AS034,0.932
AS011,AS036,0.9085
AS011,AS046,0.9519
AS011,AS047,0.9722
AS011,AS055,0.948
AS011,AS056,0.9041
AS011,BH046,0.9805
AS012,AS014,0.912
AS012,AS045,0.9537
AS012,AS049,0.9445
AS012,AS055,0.9706
AS013,AS019,0.9398
AS013,AS020,0.9283
AS013,AS021,0.9465
AS013,AS022,0.9186
AS013,AS036,0.9581
AS013,AS047,0.9851
AS013,AS058,0.9622
AS013,AS061,0.9591
AS013,AS062,0.9317
AS014,AS018,0.9155
AS014,AS028,0.9077
AS014,AS030,0.9032
AS014,AS042,0.9315
AS014,AS044,0.9654
AS014,AS053,0.9414
AS014,AS058,0.9678
AS014,AS061,0.9473
AS014,AS062,0.9105
AS014,BE003,0.9769
AS015,AS020,0.9284
AS015,AS025,0.9754
AS015,AS026,0.9292
AS015,AS029,0.9045
AS015,AS036,0.9252
AS015,AS041,0.9335
AS015,AS043,0.9424
AS015,AS049,0.9041
AS015,AS050,0.9528
AS015,AS051,0.9654
AS015,AS052,0.9372
AS015,AS057,0.9793
AS015,AS059,0.9369
AS016,AS018,0.9088
AS016,AS020,0.9487
AS016,AS023,0.9729
AS016,AS025,0.958
AS016,AS032,0.9676
AS016,AS037,0.972
AS016,AS046,0.9146
AS016,AS051,0.9526
AS016,AS056,0.9052
AS017,AS019,0.9482
AS017,AS036,0.9056
AS017,AS041,0.9331
AS017,AS046,0.9547
AS017,AS057,0.9634
AS017,AS060,0.9185
AS017,AS062,0.9177
AS018,AS022,0.9157
AS018,AS027,0.9651
AS018,AS033,0.9244
AS018,AS035,0.9253
AS018,AS045,0.9425
AS018,AS048,0.9314
AS019,AS022,0.9519
AS019,AS025,0.9054
AS019,AS027,0.9702
AS019,AS040,0.9679
AS019,AS044,0.9575
AS019,AS053,0.914
AS019,AS055,0.9667
AS019,AS061,0.9377
AS019,AT053,0.9447
AS020,AS022,0.9829
AS020,AS024,0.9339
AS020,AS026,0.9932
AS020,AS045,0.9402
AS020,AS046,0.9568
AS020,AS053,0.9289
AS020,AS061,0.917
AS021,AS026,0.932
AS021,AS033,0.957
AS021,AS039,0.9499
AS021,AS045,0.9367
AS021,AS051,0.9942
AS021,AS052,0.9867
AS021,AS060,0.9702
AS021,BI014,0.9349
AS022,AS030,0.9626
AS022,AS031,0.9645
AS022,AS034,0.9504
AS022,AS047,0.9137
AS022,AS049,0.9618
AS022,AS051,0.9822
AS022,AS054,0.9072
AS022,AS056,0.935
AS023,AS037,0.915
AS023,AS038,0.9658
AS023,AS044,0.9072
AS023,AS056,0.9375
AS023,AS062,0.9694
AS024,AS025,0.9197
AS024,AS041,0.9156
AS024,AS045,0.9412
AS024,AS052,0.9696
AS024,AS057,0.9893
AS024,AS061,0.9725
AS025,AS036,0.9095
AS025,AS037,0.92
AS025,AS041,0.9784
AS025,AS042,0.9156
AS025,AS043,0.9177
AS025,AS044,0.901
AS025,AS045,0.9638
AS025,AS047,0.9671
AS025,AS052,0.9706
AS025,AS053,0.9855
AS025,AS057,0.9664
AS025,AS058,0.9311
AS026,AS029,0.9499
AS026,AS032,0.9453
AS026,AS036,0.9606
AS026,AS039,0.937
AS026,AS044,0.9599
AS026,AS047,0.9244
AS026,AS057,0.9714
AS026,AZ003,0.9582
AS027,AS038,0.9228
AS027,AS045,0.9666
AS027,AS050,0.9102
AS027,AS057,0.9035
AS028,AS041,0.9877
AS028,AS044,0.9571
AS028,AS050,0.9474
AS028,AS053,0.92
AS028,BH024,0.9408
AS029,AS033,0.956
AS029,AS039,0.9649
AS029,AS041,0.9026
AS029,AS049,0.9704
AS029,AS053,0.934
AS029,AS059,0.9034
AS030,AS032,0.9033
AS030,AS041,0.9286
AS030,AS046,0.9245
AS030,AS050,0.907
AS030,AS054,0.9276
AS030,AS055,0.9407
AS030,AS056,0.97
AS030,AS060,0.9026
AS030,AS062,0.9524
AS031,AS036,0.914
AS031,AS044,0.9026
AS031,AS053,0.9208
AS031,AS054,0.9394
AS032,AS034,0.989
AS032,AS035,0.9227
AS032,AS043,0.9006
AS032,AS047,0.9708
AS032,AS049,0.9567
AS032,AS055,0.9002
AS032,AS059,0.9518
AS032,BG005,0.9214
AS033,AS034,0.9768
AS033,AS035,0.9623
AS033,AS041,0.9569
AS033,AS045,0.9484
AS033,AS050,0.9253
AS033,AS052,0.9121
AS033,AS053,0.9533
AS033,AS060,0.9846
AS033,AS062,0.9643
AS033,AW057,0.9492
AS034,AS040,0.9825
AS034,AS041,0.9363
AS034,AS042,0.9514
AS034,AS044,0.9639
AS034,AS052,0.9516
AS035,AS037,0.9454
AS035,AS045,0.9642
AS035,AS047,0.957
AS035,AS054,0.9668
AS035,AS056,0.9393
AS035,AT062,0.9142
AS035,AW038,0.9438
AS036,AS040,0.901
AS036,AS044,0.9229
AS036,AS045,0.9178
AS036,AS056,0.9771
AS036,AS059,0.9652
AS036,BE046,0.9206
AS037,AS052,0.9224
AS037,AS059,0.9747
AS037,AS061,0.9233
AS038,AS039,0.9392
AS038,AS049,0.9124
AS038,AS053,0.9395
AS038,AS061,0.922
AS038,AX012,0.9735
AS039,AS041,0.9261
AS039,AS043,0.9721
AS039,AS052,0.9587
AS039,AS058,0.9456
AS039,AS061,0.9736
AS040,AS043,0.9353
AS040,AS051,0.9345
AS040,AS056,0.9571
AS040,BE006,0.9145
AS042,AS046,0.9061
AS042,AS053,0.9184
AS042,AW037,0.951
AS042,BE053,0.9138
AS043,AS044,0.9673
AS043,AS046,0.9135
AS043,AS052,0.9233
AS043,AS055,0.9187
AS043,AS059,0.9718
AS043,AS060,0.9174
AS043,AS062,0.9158
AS044,AS049,0.9217
AS044,AS050,0.9207
AS044,AS062,0.9083
AS045,AS052,0.9124
AS045,AZ056,0.9314
AS045,BH006,0.9797
AS046,AS058,0.9608
AS046,AS059,0.9225
AS046,AS062,0.9675
AS047,AS051,0.9619
AS047,AS053,0.9529
AS047,AS057,0.9813
AS047,BD053,0.9621
AS047,BI037,0.9092
AS048,AS051,0.9609
AS048,AS058,0.9459
AS048,BD005,0.9039
AS049,AS059,0.9233
AS049,BH099,0.9969
AS049,BI089,0.9635
AS050,AS051,0.9119
AS050,AS054,0.9731
AS050,BD006,0.9118
AS051,AS057,0.9083
AS052,AS055,0.9468
AS053,AS058,0.9339
AS053,AS059,0.9143
AS054,AS062,0.9264
AS055,AS056,0.9728
AS055,AS061,0.9064
AS056,AS059,0.9174
AS056,AS062,0.9063
AS057,AS062,0.9058
AS057,AV051,0.9384
AS059,AW054,0.9285
AT001,AT002,0.9148
AT001,AT008,0.9768
AT001,AT012,0.9177
AT001,AT014,0.93
AT001,AT015,0.92
AT001,AT022,0.9705
AT001,AT023,0.9432
AT001,AT024,0.9472
AT001,AT028,0.9104
AT001,AT034,0.9275
AT001,AT035,0.9124
AT001,AT044,0.9316
AT001,AT060,0.9856
AT001,AT061,0.9552
AT001,AT064,0.9436
AT002,AT003,0.9606
AT002,AT006,0.9772
AT002,AT008,0.9741
AT002,AT011,0.9519
AT002,AT012,0.9321
AT002,AT017,0.9486
AT002,AT023,0.9337
AT002,AT024,0.9147
AT002,AT026,0.9616
AT002,AT032,0.9074
AT002,AT034,0.9829
AT002,AT038,0.9368
AT002,AT043,0.9398
AT002,AT044,0.9154
AT002,AT052,0.994
AT002,AT053,0.9137
AT002,AT059,0.9627
AT002,AT060,0.9359
AT002,AT063,0.9705
AT002,AT064,0.9581
AT002,AX008,0.9832
AT003,AT005,0.948
AT003,AT007,0.9392
AT003,AT011,0.9877
AT003,AT013,0.9591
AT003,AT015,0.9434
AT003,AT017,0.9474
AT003,AT019,0.917
AT003,AT020,0.9458
AT003,AT022,0.9414
AT003,AT025,0.9457
AT003,AT044,0.9209
AT003,AT046,0.9454
AT003,AT052,0.9739
AT003,AT058,0.9057
AT003,AT063,0.9437
AT003,BH035,0.9564
AT003,BJ005,0.9235
AT004,AT014,0.9032
AT004,AT015,0.9292
AT004,AT021,0.9187
AT004,AT024,0.901
AT004,AT035,0.9511
AT004,AT037,0.9365
AT004,AT042,0.9662
AT004,AT043,0.9136
AT004,AT045,0.9211
AT004,AT047,0.9143
AT004,AT050,0.9252
AT004,AT052,0.9646
AT004,AT056,0.9747
AT004,AT058,0.9158
AT005,AT010,0.9163
AT005,AT011,0.9532
AT005,AT012,0.9885
AT005,AT018,0.942
AT005,AT030,0.9172
AT005,AT036,0.9534
AT005,AT040,0.9587
AT005,AT045,0.9274
AT005,AT060,0.9201
AT006,AT010,0.9431
AT006,AT013,0.9447
AT006,AT019,0.9491
AT006,AT024,0.9846
AT006,AT026,0.9633
AT006,AT027,0.9176
AT006,AT035,0.9333
AT006,AT037,0.9045
AT006,AT044,0.9618
AT006,AT046,0.9333
AT006,AT056,0.9637
AT006,AT058,0.9186
AT006,AT060,0.9268
AT006,AT061,0.9378
AT007,AT018,0.9805
AT007,AT020,0.9735
AT007,AT024,0.9196
AT007,AT025,0.9062
AT007,AT027,0.9548
AT007,AT029,0.9217
AT007,AT049,0.925
AT007,AT050,0.962
AT007,AT053,0.9287
AT007,AT056,0.9253
AT007,AT057,0.9428
AT008,AT014,0.9089
AT008,AT022,0.9018
AT008,AT029,0.9254
AT008,AT047,0.9669
AT008,AT051,0.9476
AT008,AT055,0.9453
AT008,AT056,0.9559
AT008,AT061,0.9361
AT008,AT062,0.9221
AT008,AT063,0.9614
AT009,AT018,0.9108
AT009,AT019,0.9194
AT009,AT024,0.9175
AT009,AT025,0.9227
AT009,AT027,0.9299
AT009,AT032,0.9676
AT009,AT035,0.9456
AT009,AT036,0.9847
AT009,AT041,0.9146
AT009,AT046,0.9408
AT009,AT048,0.9252
AT009,AT054,0.9653
AT009,AY003,0.9174
AT010,AT017,0.9413
AT010,AT020,0.9828
AT010,AT028,0.9202
AT010,AT031,0.9112
AT010,AT035,0.9177
AT010,AT038,0.9113
AT010,AT040,0.9243
AT010,AT042,0.9372
AT010,AT052,0.9475
AT010,AT053,0.9622
AT010,AT062,0.9652
AT010,BE063,0.9086
AT011,AT015,0.956
AT011,AT016,0.9724
AT011,AT017,0.9243
AT011,AT025,0.9706
AT011,AT034,0.9535
AT011,AT037,0.9027
AT011,AT043,0.9097
AT011,AT046,0.9544
AT011,AT047,0.933
AT011,AT048,0.9058
AT011,AT055,0.9699
AT011,AT058,0.9451
AT011,AT061,0.9413
AT011,AZ002,0.9188
AT012,AT013,0.9607
AT012,AT015,0.9795
AT012,AT016,0.9332
AT012,AT021,0.9486
AT012,AT023,0.9473
AT012,AT029,0.9353
AT012,AT031,0.9596
AT012,AT037,0.9462
AT012,AT045,0.9108
AT012,AT047,0.9179
AT012,AT048,0.982
AT012,AT053,0.912
AT012,AT055,0.9569
AT012,AT056,0.9848
AT013,AT014,0.9398
AT013,AT018,0.9162
AT013,AT022,0.9777
AT013,AT023,0.9332
AT013,AT025,0.9768
AT013,AT028,0.9331
AT013,AT031,0.9537
AT013,AT032,0.9348
AT013,AT040,0.9568
AT013,AT048,0.9189
AT013,AT054,0.9603
AT013,AT056,0.9348
AT014,AT019,0.9188
AT014,AT026,0.9711
AT014,AT036,0.9125
AT014,AT047,0.9329
AT014,AT060,0.9222
AT015,AT020,0.9563
AT015,AT021,0.9875
AT015,AT024,0.9411
AT015,AT040,0.9131
AT015,AT041,0.9374
AT015,AT047,0.9229
AT015,AT050,0.9677
AT015,AT057,0.9273
AT016,AT022,0.9373
AT016,AT023,0.9223
AT016,AT028,0.9481
AT016,AT031,0.9265
AT016,AT032,0.9313
AT016,AT040,0.9296
AT016,AT044,0.9473
AT016,AT055,0.9156
AT016,AT063,0.9329
AT016,BG075,0.9745
AT017,AT020,0.9755
AT017,AT021,0.9331
AT017,AT027,0.9016
AT017,AT046,0.9931
AT017,AT049,0.9234
AT017,AT051,0.9818
AT017,AT053,0.9585
AT017,AT054,0.9095
AT017,AT055,0.9016
AT017,AT056,0.9593
AT017,AT064,0.9474
AT018,AT033,0.9451
AT018,AT037,0.9044
AT018,AT039,0.9151
AT018,AT041,0.9743
AT018,AT042,0.9374
AT018,AT044,0.9504
AT018,AT045,0.9678
AT018,AT046,0.9188
AT018,AT048,0.9008
AT018,AT053,0.9608
AT018,AT061,0.9681
AT018,AT063,0.9539
AT019,AT024,0.9369
AT019,AT029,0.936
AT019,AT035,0.9258
AT019,AT037,0.9652
AT019,AT044,0.9015
AT019,AT053,0.9029
AT019,AT060,0.9786
AT019,AT063,0.9054
AT020,AT025,0.9508
AT020,AT027,0.9288
AT020,AT029,0.954
AT020,AT036,0.9014
AT020,AT045,0.9413
AT020,AT048,0.9632
AT020,AT049,0.9129
AT020,AT052,0.9174
AT020,AT059,0.9514
AT020,AT060,0.9652
AT020,AT062,0.9298
AT020,AT064,0.9414
AT020,BF008,0.9774
AT021,AT022,0.9815
AT021,AT024,0.9099
AT021,AT030,0.9173
AT021,AT034,0.9506
AT021,AT035,0.9174
AT021,AT044,0.9366
AT021,AT048,0.966
AT021,AT049,0.9097
AT021,AT054,0.9094
AT021,AT058,0.9331
AT022,AT024,0.9824
AT022,AT028,0.9704
AT022,AT030,0.9303
AT022,AT048,0.9141
AT022,AT049,0.9695
AT022,AT052,0.9341
AT022,AT054,0.9621
AT022,AT055,0.9311
AT022,AT061,0.9034
AT023,AT028,0.916
AT023,AT030,0.9386
AT023,AT034,0.9343
AT023,AT035,0.9092
AT023,AT039,0.9573
AT023,AT041,0.9212
AT023,AT043,0.9193
AT023,AT045,0.9333
AT023,AT057,0.9533
AT023,AT060,0.9383
AT023,AT064,0.9551
AT024,AT025,0.9205
AT024,AT026,0.906
AT024,AT032,0.9716
AT024,AT033,0.9121
AT024,AT037,0.9293
AT024,AT038,0.9293
AT024,AT041,0.9788
AT024,AT047,0.9362
AT024,AT050,0.9217
AT024,AT055,0.9407
AT024,AT061,0.9434
AT024,AT063,0.9358
AT025,AT033,0.9901
AT025,AT038,0.9264
AT025,BE035,0.9635
AT026,AT029,0.9321
AT026,AT035,0.9491
AT026,AT041,0.9092
AT026,AT047,0.9445
AT026,AT053,0.9323
AT026,AT054,0.9049
AT026,AT058,0.9449
AT026,AT061,0.9061
AT026,AT063,0.9239
AT026,AT064,0.9276
AT026,AU025,0.9046
AT026,BI066,0.942
AT027,AT028,0.9458
AT027,AT030,0.9298
AT027,AT036,0.9048
AT027,AT038,0.9223
AT027,AT040,0.9454
AT027,AT045,0.9507
AT027,AT047,0.9097
AT027,AT050,0.9386
AT027,AT056,0.9064
AT027,BC025,0.9292
AT028,AT044,0.9502
AT028,AT045,0.9398
AT028,AT047,0.9096
AT028,AT052,0.9843
AT028,AT060,0.9422
AT029,AT031,0.9019
AT029,AT033,0.9751
AT029,AT040,0.9176
AT029,AT041,0.9833
AT029,AT042,0.9424
AT029,AT044,0.9644
AT029,AT047,0.9016
AT029,AT052,0.9351
AT029,AT058,0.9695
AT029,AT059,0.9869
AT029,AT062,0.9622
AT030,AT032,0.9118
AT030,AT041,0.9444
AT030,AT047,0.9047
AT030,AT053,0.9024
AT030,AT061,0.9192
AT030,BI104,0.9272
AT031,AT034,0.9755
AT031,AT038,0.9615
AT031,AT045,0.9071
AT031,AT052,0.9697
AT031,AT053,0.9041
AT031,AT063,0.9609
